,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2020-01-28,113.697998046875,115.36199951171875,111.61599731445312,113.37999725341797,113.37999725341797,58942500,TSLA,128.99547,116.19799804687499,2.818000793457017,0.0
2020-02-05,164.65199279785156,169.1959991455078,140.82200622558594,146.94000244140625,146.94000244140625,242119000,TSLA,167.86298,149.79200744628906,2.8520050048828125,0.0
2020-02-06,139.98399353027344,159.16600036621094,137.39999389648438,149.79200744628906,149.79200744628906,199404000,TSLA,160.03542,149.61399841308594,-0.178009033203125,0.0
2020-02-12,155.57400512695312,157.9499969482422,152.6739959716797,153.45799255371094,153.45799255371094,60112500,TSLA,167.57043,160.8000030517578,7.342010498046875,0.0
2020-02-19,184.6999969482422,188.95599365234375,180.20399475097656,183.48399353027344,183.48399353027344,127115000,TSLA,195.03189,179.8820037841797,-3.60198974609375,0.0
2020-02-20,182.38999938964844,182.39999389648438,171.98800659179688,179.8820037841797,179.8820037841797,88174500,TSLA,190.13548,180.19999694824222,0.3179931640625284,0.0
2020-02-24,167.8000030517578,172.6999969482422,164.44000244140625,166.75799560546875,166.75799560546875,75961000,TSLA,179.71867,159.98199462890625,-6.7760009765625,0.0
2020-02-25,169.8000030517578,171.32000732421875,157.39999389648438,159.98199462890625,159.98199462890625,86452500,TSLA,176.452,155.75999450683594,-4.2220001220703125,0.0
2020-02-28,125.94000244140625,138.10400390625,122.30400085449219,133.59800720214844,133.59800720214844,121114500,TSLA,144.4122,148.7239990234375,15.125991821289062,0.0
2020-03-02,142.2519989013672,148.73800659179688,137.33399963378906,148.7239990234375,148.7239990234375,100975000,TSLA,157.69493,149.10200500488278,0.3780059814452841,0.0
2020-03-06,138.0,141.39999389648438,136.85400390625,140.6959991455078,140.6959991455078,63314500,TSLA,153.01207,121.59999847412108,-19.096000671386733,0.0
2020-03-17,88.00199890136719,94.37000274658203,79.19999694824219,86.04000091552734,86.04000091552734,119973000,TSLA,104.111275,72.24400329589844,-13.795997619628906,0.0
2020-03-19,74.94000244140625,90.4000015258789,71.69200134277344,85.52799987792969,85.52799987792969,150977500,TSLA,98.50713,85.50599670410156,-0.022003173828125,0.0
2020-03-31,100.25,108.59200286865234,99.4000015258789,104.80000305175781,104.80000305175781,88857500,TSLA,119.49225,96.31199645996094,-8.488006591796875,0.0
2020-04-13,118.03199768066406,130.39999389648438,116.10600280761719,130.19000244140625,130.19000244140625,112377000,TSLA,138.60219,141.97799682617188,11.787994384765625,0.0
2020-04-17,154.45599365234375,154.99000549316406,149.53199768066406,150.7779998779297,150.7779998779297,65641000,TSLA,165.21489,149.27200317382812,-1.5059967041015625,0.0
2020-04-20,146.5399932861328,153.11399841308594,142.44200134277344,149.27200317382812,149.27200317382812,73733000,TSLA,161.01695,137.343994140625,-11.928009033203125,0.0
2020-04-22,140.79600524902344,146.8000030517578,137.74200439453125,146.4219970703125,146.4219970703125,70827500,TSLA,156.48729,141.1260070800781,-5.295989990234403,0.0
2020-05-06,155.3000030517578,157.9600067138672,152.2220001220703,156.51600646972656,156.51600646972656,55616000,TSLA,168.16449,156.00799560546875,-0.5080108642578125,0.0
2020-05-14,156.0,160.6719970703125,152.8000030517578,160.66600036621094,160.66600036621094,68411000,TSLA,170.09431,159.83399963378906,-0.832000732421875,0.0
2020-05-15,158.07000732421875,161.00999450683594,157.30999755859375,159.83399963378906,159.83399963378906,52592000,TSLA,171.51186,162.7259979248047,2.891998291015625,0.0
2020-05-19,163.03399658203125,164.41400146484375,161.21600341796875,161.6020050048828,161.6020050048828,48182500,TSLA,174.74586,163.11199951171875,1.5099945068359375,0.0
2020-06-02,178.94000244140625,181.73199462890625,174.1999969482422,176.31199645996094,176.31199645996094,67828000,TSLA,188.91606,176.5919952392578,0.279998779296875,0.0
2020-06-15,183.55799865722656,199.76800537109375,181.6999969482422,198.17999267578125,198.17999267578125,78486000,TSLA,201.33736,196.42599487304688,-1.753997802734375,0.0
2020-06-24,198.82200622558594,200.17599487304688,190.6280059814453,192.1699981689453,192.1699981689453,54798000,TSLA,205.35976,197.19599914550778,5.026000976562472,0.0
2020-06-29,193.802001953125,202.0,189.70399475097656,201.8699951171875,201.8699951171875,45132000,TSLA,206.90578,215.96200561523438,14.092010498046875,0.0
2020-07-22,319.79998779296875,325.28399658203125,312.3999938964844,318.46600341796875,318.46600341796875,70805500,TSLA,321.31488,302.614013671875,-15.85198974609375,0.0
2020-07-28,300.79998779296875,312.94000244140625,294.8840026855469,295.2980041503906,295.2980041503906,79043500,TSLA,304.3624,299.8219909667969,4.52398681640625,0.0
2020-08-04,299.00201416015625,305.48199462890625,292.3999938964844,297.3999938964844,297.3999938964844,42075000,TSLA,302.13803,297.0039978027344,-0.39599609375,0.0
2020-08-10,289.6000061035156,291.5,277.1679992675781,283.7139892578125,283.7139892578125,37611500,TSLA,289.75415,274.87799072265625,-8.83599853515625,0.0
2020-08-11,279.20001220703125,284.0,273.0,274.87799072265625,274.87799072265625,43129000,TSLA,282.56503,310.9519958496094,36.074005126953125,0.0
2020-08-14,332.99798583984375,333.760009765625,325.3280029296875,330.1419982910156,330.1419982910156,62888000,TSLA,332.1648,367.12799072265625,36.985992431640625,0.0
2020-08-19,373.0,382.20001220703125,368.24200439453125,375.70599365234375,375.70599365234375,61026500,TSLA,373.9316,400.3659973144531,0.0,-24.660003662109375
2020-09-04,402.80999755859375,428.0,372.0199890136719,418.32000732421875,418.32000732421875,110321900,TSLA,402.7622,330.2099914550781,0.0,88.11001586914062
